,training set Accuracy,development set Accuracy,test set Accuracy,test set True positive ratio,test set True negative ratio,test AUC score
0,64.47609359104781,62.70906462936197,47.447013487475914,29.28709055876686,18.159922928709054,0.531183368869936
1,67.66022380467956,63.08073508156101,48.89210019267823,31.021194605009633,17.87090558766859,0.5441202324229051
2,69.29806714140386,63.844724344414615,49.22928709055876,32.46628131021195,16.76300578034682,0.5377467464850318
3,67.49745676500508,60.933305802188734,44.797687861271676,25.337186897880535,19.460500963391137,0.5288043698751786
4,71.25127161749745,63.51435060912658,47.784200385356456,29.76878612716763,18.015414258188827,0.5416392441296989
5,73.39776195320448,65.24881271938881,65.7514450867052,53.99807321772639,11.753371868978805,0.5911254659953029
6,74.33367243133266,65.02168077637828,50.28901734104046,32.70712909441233,17.58188824662813,0.5511400262354792
7,72.38046795523907,62.729712987817464,49.03660886319846,29.527938342967246,19.508670520231213,0.5698474555642206
8,73.27568667344863,63.28721866611604,42.96724470134875,18.930635838150287,24.03660886319846,0.6076127967832237
9,76.18514750762971,67.00392318810654,62.3795761078998,49.75915221579961,12.620423892100193,0.5880291610506814
10,75.5645981688708,64.11315300433616,47.25433526011561,28.179190751445088,19.07514450867052,0.5568412843664493
11,77.62970498474058,64.71195539954574,55.82851637764933,39.30635838150289,16.522157996146436,0.5826310534311229
12,78.382502543235,66.28123064216395,50.433526011560694,33.04431599229287,17.38921001926782,0.5463301883815594
13,77.98575788402849,65.24881271938881,50.433526011560694,30.105973025048172,20.327552986512522,0.613764272867015
14,78.84028484231943,66.26058228370844,56.551059730250486,40.17341040462428,16.377649325626205,0.5953932391801187
15,79.35910478128179,66.38447243444146,51.49325626204239,33.04431599229287,18.448940269749517,0.5850044176580103
16,79.0030518819939,66.30187900061945,50.96339113680154,31.454720616570324,19.508670520231213,0.582798406036865
17,80.67141403865718,65.53788973776585,56.74373795761078,43.97880539499037,12.764932562620423,0.5372993459161456
18,81.36317395727364,66.23993392525294,50.96339113680154,32.22543352601156,18.737957610789984,0.5646589613094299
19,81.21057985757884,67.47883543258311,59.2485549132948,46.05009633911368,13.19845857418112,0.5743146995316382
20,82.03458799593082,66.15734049143093,53.179190751445084,34.152215799614645,19.026974951830443,0.60105843479672
21,82.71617497456765,66.83873632046252,58.333333333333336,43.689788053949904,14.64354527938343,0.5726484986724487
22,81.74974567650051,67.27235184802808,56.936416184971094,42.822736030828516,14.113680154142582,0.5516189815044379
23,82.05493387589013,66.03345034069793,61.368015414258196,46.53179190751445,14.836223506743737,0.6085290100389024
24,81.71922685656155,65.57918645467686,47.398843930635834,28.227360308285164,19.171483622350674,0.5674295766711595
25,80.25432349949135,64.4435267396242,48.84393063583815,29.383429672447015,19.460500963391137,0.5766041057172608
26,82.73652085452696,66.96262647119553,62.09055876685935,51.01156069364162,11.078998073217726,0.565272587530484
27,83.68260427263479,66.5909560189965,57.996146435452786,42.19653179190752,15.79961464354528,0.5836408038334453
28,81.55645981688708,65.12492256865579,49.373795761078995,27.45664739884393,21.917148362235068,0.6027821102881845
29,80.49847405900306,64.36093330580219,50.57803468208093,30.8766859344894,19.70134874759152,0.5894942006969082
30,80.2441505595117,63.55564732603758,45.32755298651253,23.314065510597302,22.013487475915223,0.5848528424023044
31,83.90640895218718,66.09539541606442,52.07129094412332,32.321772639691716,19.7495183044316,0.6027409764827328
32,84.25228891149543,67.97439603551517,60.067437379576106,45.08670520231214,14.98073217726397,0.5997731442455496
33,83.74364191251271,66.52901094362998,51.58959537572254,30.491329479768787,21.09826589595376,0.6202453828712072
34,86.30722278738556,68.67644022300226,57.70712909441234,42.822736030828516,14.884393063583815,0.577487073842506
35,86.00203458799594,68.61449514763576,62.042389210019266,50.626204238921005,11.416184971098266,0.5702413258383408
36,85.44252288911495,67.47883543258311,61.22350674373796,49.71098265895954,11.51252408477842,0.5731398504307216
37,87.20244150559512,68.63514350609127,57.51445086705203,42.726396917148364,14.78805394990366,0.5721137592015759
38,87.23296032553408,68.65579186454677,56.98458574181118,43.40077071290944,13.583815028901732,0.553703282139589
39,86.89725330620549,68.20152797852572,55.10597302504817,38.34296724470135,16.76300578034682,0.577379449776187
40,83.61139369277721,65.86826347305389,45.472061657032754,22.20616570327553,23.265895953757227,0.5950540261543386
41,86.44964394710071,68.34606648771422,59.73025048169557,47.687861271676304,12.042389210019268,0.5564395254173109
42,87.33468972533062,68.42865992153624,54.383429672447015,39.4990366088632,14.884393063583815,0.5425949007604682
43,86.00203458799594,68.46995663844724,55.97302504816955,38.4393063583815,17.533718689788053,0.6043429409882031
44,85.53407934893184,66.28123064216395,48.36223506743738,28.660886319845858,19.70134874759152,0.5760766914446193
45,84.76093591047812,65.8269667561429,51.87861271676301,32.51445086705203,19.36416184971098,0.6012635403471919
46,85.47304170905392,66.92132975428453,59.48940269749519,42.96724470134875,16.522157996146436,0.6150118104734557
47,87.23296032553408,69.6056163534999,61.70520231213873,50.67437379576107,11.03082851637765,0.571075834959903
48,88.38250254323499,67.97439603551517,56.165703275529864,40.46242774566474,15.703275529865124,0.5788608302492371
49,85.0559511698881,65.97150526533142,54.23892100192679,37.47591522157997,16.76300578034682,0.5861347520927528
